 WRA,,, WRB,,,RU_1,,,RU_2,,,RU_3,,,RU_4,,, ELB_M,,, ELB_L,,,H_1,,,H_2,,,H_3,,,H_4,,,H_5,,,H_6,,,SA_1,,,SA_2,,,SA_3,,,CS_1,,,CS_2,,,CS_3,,,CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
263.647,316.077,36.8839,321.806,327.384,18.5292,292.739,509.282,93.6813,286.909,447.011,73.3351,323.024,448.123,34.8187,318.049,517.571,51.8847,239.727,585.828,27.444,306.404,576.721,67.3295,269.504,582.874,157.021,248.693,599.794,203.781,236.258,612.763,246.285,257.609,645.049,236.522,268.204,635.522,194.698,282.213,621.522,147.373,170.325,743.36,341.27,139.464,641.957,322.45,157.502,667.86,358.424,1.26617,616.791,286.114,2.08067,626.431,315.301,45.5924,625.948,313.356,46.4189,614.287,284.914
263.647,316.074,36.8823,321.806,327.384,18.5287,292.742,509.278,93.6877,286.912,447.012,73.3386,323.03,448.121,34.8264,318.055,517.57,51.8931,239.722,585.799,27.4649,306.415,576.711,67.3863,269.511,582.875,157.027,248.71,599.795,203.794,236.276,612.776,246.312,257.614,645.051,236.536,268.144,635.546,194.708,282.218,621.523,147.378,170.33,743.364,341.276,139.473,641.959,322.475,157.505,667.864,358.434,1.26757,616.789,286.123,2.08213,626.428,315.312,45.5873,625.953,313.371,46.422,614.283,284.929
263.649,316.076,36.8848,321.808,327.383,18.5309,292.747,509.277,93.6952,286.914,447.013,73.3413,323.034,448.119,34.8337,318.059,517.567,51.8974,239.73,585.802,27.4737,306.425,576.71,67.398,269.494,582.863,157.108,248.715,599.792,203.801,236.28,612.775,246.32,257.621,645.049,236.544,268.146,635.533,194.714,282.222,621.525,147.383,170.343,743.377,341.294,139.48,641.96,322.488,157.506,667.867,358.441,1.2686,616.789,286.131,2.08484,626.428,315.322,45.5847,625.95,313.382,46.4335,614.271,284.924
263.651,316.077,36.8856,321.809,327.382,18.5327,292.75,509.273,93.7027,286.918,447.013,73.3447,323.038,448.117,34.8395,318.065,517.567,51.9062,239.736,585.804,27.4768,306.433,576.707,67.4078,269.544,582.9,157.129,248.727,599.797,203.821,236.288,612.777,246.329,257.626,645.047,236.551,268.151,635.534,194.718,282.228,621.526,147.388,170.348,743.381,341.301,139.485,641.962,322.495,157.511,667.87,358.454,1.26976,616.784,286.143,2.08537,626.427,315.334,45.585,625.951,313.394,46.4282,614.252,284.95
263.648,316.074,36.884,321.808,327.38,18.5336,292.757,509.271,93.7112,286.918,447.013,73.3468,323.042,448.114,34.845,318.071,517.565,51.9113,239.743,585.805,27.4946,306.442,576.705,67.4191,269.505,582.862,157.122,248.734,599.795,203.834,236.293,612.772,246.338,257.63,645.044,236.562,268.153,635.532,194.724,282.233,621.528,147.393,170.355,743.386,341.304,139.488,641.963,322.509,157.513,667.873,358.463,1.26934,616.781,286.153,2.08804,626.426,315.344,45.5878,625.953,313.406,46.4513,614.231,284.951
263.65,316.076,36.8841,321.81,327.381,18.5337,292.76,509.262,93.7183,286.921,447.015,73.3496,323.045,448.112,34.8491,318.075,517.564,51.9158,239.772,585.818,27.5112,306.448,576.702,67.4281,269.51,582.861,157.128,248.74,599.792,203.843,236.299,612.771,246.351,257.634,645.041,236.569,268.166,635.537,194.746,282.251,621.537,147.425,170.359,743.397,341.308,139.49,641.961,322.519,157.517,667.881,358.471,1.26851,616.769,286.163,2.08804,626.425,315.352,45.5897,625.955,313.414,46.4566,614.228,284.96
263.648,316.072,36.8829,321.81,327.381,18.5355,292.767,509.26,93.7266,286.925,447.015,73.3537,323.05,448.109,34.8582,318.104,517.554,51.9383,239.784,585.81,27.5153,306.457,576.7,67.4384,269.511,582.852,157.121,248.745,599.789,203.853,236.303,612.767,246.362,257.645,645.031,236.583,268.174,635.54,194.763,282.27,621.539,147.438,170.365,743.391,341.319,139.486,641.972,322.557,157.519,667.886,358.476,1.26686,616.771,286.171,2.08766,626.435,315.362,45.5908,625.962,313.432,46.4521,614.224,284.967
263.65,316.075,36.8843,321.811,327.379,18.5364,292.768,509.252,93.7444,286.928,447.014,73.3554,323.053,448.106,34.8587,318.109,517.551,51.9423,239.79,585.812,27.5249,306.467,576.698,67.4518,269.513,582.85,157.127,248.75,599.785,203.863,236.313,612.764,246.376,257.65,645.017,236.6,268.178,635.537,194.763,282.274,621.54,147.442,170.375,743.417,341.325,139.493,641.973,322.581,157.523,667.879,358.49,1.26897,616.767,286.18,2.09089,626.433,315.388,45.5928,625.959,313.444,46.4591,614.221,284.989
263.65,316.074,36.8844,321.811,327.379,18.5396,292.773,509.248,93.7516,286.931,447.015,73.3588,323.059,448.106,34.8653,318.155,517.504,52.0409,239.801,585.808,27.5322,306.491,576.699,67.4741,269.527,582.866,157.161,248.754,599.782,203.873,236.318,612.76,246.386,257.652,645.009,236.612,268.179,635.534,194.77,282.278,621.539,147.445,170.378,743.42,341.331,139.498,641.975,322.589,157.524,667.884,358.5,1.27022,616.765,286.188,2.09254,626.431,315.396,45.5931,625.959,313.453,46.4599,614.22,285
263.65,316.075,36.8853,321.814,327.378,18.5417,292.793,509.248,93.7638,286.935,447.016,73.3619,323.064,448.101,34.8714,318.16,517.502,52.0464,239.816,585.81,27.5449,306.499,576.697,67.4865,269.528,582.858,157.156,248.764,599.775,203.899,236.323,612.758,246.397,257.651,644.991,236.648,268.386,635.429,194.87,282.282,621.54,147.45,170.378,743.408,341.337,139.501,641.976,322.599,157.525,667.882,358.51,1.27069,616.761,286.197,2.08823,626.418,315.419,45.5981,625.962,313.463,46.4639,614.211,285.018
263.649,316.073,36.8847,321.815,327.374,18.5446,292.799,509.244,93.7705,286.937,447.016,73.3652,323.069,448.097,34.8794,318.19,517.546,52.0835,239.829,585.815,27.5538,306.512,576.694,67.5005,269.534,582.857,157.164,248.766,599.766,203.915,236.335,612.749,246.41,257.659,644.985,236.662,268.394,635.427,194.883,282.286,621.54,147.454,170.385,743.423,341.343,139.506,641.981,322.617,157.531,667.89,358.519,1.27358,616.757,286.204,2.09115,626.418,315.428,45.5897,625.949,313.488,46.4651,614.207,285.031
263.65,316.074,36.885,321.815,327.373,18.549,292.805,509.239,93.781,286.939,447.016,73.3695,323.073,448.093,34.8867,318.195,517.545,52.0921,239.868,585.81,27.5671,306.521,576.689,67.5289,269.526,582.853,157.193,248.782,599.754,203.936,236.339,612.743,246.421,257.663,644.976,236.673,268.395,635.42,194.884,282.291,621.539,147.458,170.387,743.426,341.348,139.517,641.965,322.641,157.532,667.891,358.529,1.27157,616.753,286.228,2.09192,626.414,315.441,45.5988,625.956,313.513,46.4665,614.205,285.04
263.656,316.089,36.8951,321.817,327.372,18.55,292.81,509.235,93.7905,286.944,447.017,73.373,323.105,448.08,34.9405,318.165,517.521,52.0612,239.875,585.758,27.5435,306.53,576.686,67.5395,269.53,582.848,157.198,248.786,599.746,203.948,236.332,612.731,246.434,257.671,644.965,236.685,268.4,635.418,194.895,282.294,621.537,147.461,170.403,743.434,341.361,139.52,641.967,322.649,157.539,667.892,358.537,1.26498,616.754,286.247,2.0948,626.411,315.451,45.6059,625.955,313.531,46.4675,614.198,285.053
263.651,316.074,36.8859,321.82,327.372,18.552,292.817,509.231,93.8,286.947,447.019,73.376,323.088,448.084,34.9201,318.208,517.529,52.1026,239.88,585.757,27.5529,306.54,576.685,67.55,269.533,582.843,157.202,248.788,599.741,203.958,236.341,612.729,246.438,257.716,644.95,236.728,268.406,635.412,194.901,282.298,621.537,147.465,170.405,743.435,341.366,139.526,641.97,322.659,157.537,667.894,358.547,1.26755,616.751,286.257,2.09758,626.408,315.461,45.6107,625.954,313.548,46.4794,614.171,285.061
263.652,316.074,36.8867,321.82,327.37,18.5544,292.816,509.218,93.8408,286.949,447.019,73.3791,323.118,448.074,34.9574,318.199,517.567,52.1041,239.894,585.761,27.5634,306.565,576.671,67.5731,269.535,582.84,157.208,248.793,599.735,203.97,236.344,612.724,246.449,257.723,644.944,236.744,268.409,635.406,194.904,282.3,621.535,147.467,170.409,743.437,341.371,139.526,641.97,322.666,157.545,667.897,358.559,1.27355,616.742,286.277,2.10272,626.411,315.471,45.6087,625.952,313.56,46.4843,614.167,285.073
263.644,316.054,36.8943,321.817,327.37,18.5534,292.822,509.215,93.847,286.953,447.018,73.3814,323.126,448.07,34.9688,318.171,517.603,52.0327,239.918,585.801,27.6008,306.576,576.667,67.5845,269.537,582.834,157.214,248.796,599.728,203.979,236.346,612.718,246.459,257.728,644.936,236.756,268.412,635.394,194.913,282.295,621.533,147.476,170.412,743.438,341.377,139.532,641.967,322.675,157.548,667.899,358.568,1.27702,616.735,286.287,2.07282,626.403,315.508,45.6121,625.95,313.569,46.4903,614.165,285.093
263.654,316.074,36.8883,321.818,327.369,18.553,292.828,509.21,93.8567,286.956,447.018,73.3845,323.133,448.066,34.9744,318.177,517.603,52.0372,239.93,585.804,27.6154,306.586,576.664,67.5949,269.539,582.831,157.22,248.811,599.805,203.926,236.347,612.711,246.468,257.738,644.931,236.772,268.368,635.409,194.904,282.298,621.532,147.478,170.415,743.44,341.38,139.536,641.969,322.689,157.553,667.903,358.579,1.27882,616.732,286.298,2.07863,626.402,315.518,45.5998,625.929,313.591,46.4904,614.162,285.105
